il_kod,ilce,lat,lon
10,MARMARA,40.58750000,27.55527780
10,SAVAŞTEPE,39.38388890,27.65472220
10,SINDIRGI,39.24000000,28.17500000
10,SUSURLUK,39.91886900,28.15710100
11,BİLECİK,40.15013100,29.98306100
11,BOZÜYÜK,39.90777780,30.03666670
11,GÖLPAZARI,40.28472220,30.31722220
11,İNHİSAR,40.05349000,30.39068000
11,OSMANELİ,40.35931030,30.01162710
11,PAZARYERİ,39.99648740,29.90755160
11,SÖĞÜT,40.01861110,30.18138890
11,YENİPAZAR,40.17833330,30.52000000
12,ADAKLI,39.22817760,40.48339550
12,BİNGÖL,38.88534900,40.49829100
12,GENÇ,38.75305560,40.56666670
12,KARLIOVA,39.29777380,41.01251340
12,KİĞI,39.31666670,40.35000000
12,SOLHAN,38.96898560,41.05238810
12,YAYLADERE,39.22444440,40.07250000
12,YEDİSU,39.43333330,40.55000000
13,ADİLCEVAZ,38.80666710,42.73463770
13,AHLAT,38.75277780,42.49444440
13,BİTLİS,38.40000000,42.11666670
13,GÜROYMAK,38.57538710,42.01747170
13,HİZAN,38.22470190,42.42527970
13,MUTKİ,38.41023860,41.91849570
13,TATVAN,38.50222220,42.28138890
14,BOLU,40.73947900,31.61156100
14,DÖRTDİVAN,40.71666670,32.06666670
14,GEREDE,40.80055560,32.19861110
14,GÖYNÜK,40.40038410,30.78384030
14,KIBRISCIK,40.40868150,31.84721230
14,MENGEN,40.93743850,32.07628810
14,MUDURNU,40.46666670,31.21666670
14,SEBEN,40.40907190,31.57410360
14,YENİÇAĞA,40.77240780,32.03582830
15,AĞLASUN,37.65771600,30.53234200
15,ALTINYAYLA(DİRMİL),36.99863100,29.54598000
15,BUCAK,37.45684100,30.58188100
15,BURDUR,37.72690900,30.28887600
15,ÇAVDIR,37.15500000,29.69388890
15,ÇELTİKÇİ,37.53444440,30.48444440
15,GÖLHİSAR,37.14443700,29.50787050
15,KARAMANLI,37.37000000,29.82100000
15,KEMER,37.35200000,30.06300000
15,TEFENNİ,37.31098400,29.77445120
15,YEŞİLOVA,37.50805560,29.75472220
16,BÜYÜKORHAN,39.77103970,28.88589400
16,GEMLİK,40.43305560,29.15666670
16,GÜRSU,40.24096780,29.20883030
16,HARMANCIK,39.67611110,29.15527780
16,İNEGÖL,40.08333330,29.51666670
16,İZNİK,40.42896280,29.71654170
16,KARACABEY,40.22549800,28.37273000
16,KELES,39.91361110,29.22944440
16,KESTEL,40.19561050,29.21173650
16,MUDANYA,40.37638890,28.88333330
16,MUSTAFAKEMALPAŞA,40.03530000,28.41170000
16,NİLÜFER,40.18257000,29.06687000
16,ORHANELİ,39.90671900,28.98862100
16,ORHANGAZİ,40.50112900,29.31068000
16,OSMANGAZİ,40.18257000,29.06687000
16,YENİŞEHİR,40.26444440,29.65305560
16,YILDIRIM,40.32984420,29.55861740
17,AYVACIK,39.60111110,26.40472220
17,BAYRAMİÇ,40.70383550,26.91017360
17,BİGA,40.23407000,27.24572000
17,BOZCAADA,39.82306430,26.03252260
17,ÇAN,40.02750000,27.04750000
17,ÇANAKKALE,40.15531200,26.41416000
17,ECEABAT,40.18388890,26.35638890
17,EZİNE,39.78324990,26.34117930
17,GELİBOLU,40.41744700,26.67743500
17,GÖKÇEADA(İMROZ),40.19702900,25.91795900
17,LAPSEKİ,40.35299000,26.69954780
17,YENİCE,39.92829100,27.26038000
18,ATKARACALAR,40.81666670,33.08333330
18,BAYRAMÖREN,40.94195680,33.20413740
18,ÇANKIRI,40.60000000,33.61666670
18,ÇERKEŞ,40.81666670,32.90000000
18,ELDİVAN,40.53333330,33.50000000
18,ILGAZ,40.92614520,33.62896150
18,KIZILIRMAK,40.35000000,33.98333330
18,KORGUN,40.73333330,33.51666670
18,KURŞUNLU,40.83968350,33.25775470
18,ORTA,40.62406840,33.11162340
18,ŞABANÖZÜ,40.48333330,33.28333330
18,YAPRAKLI,40.76335100,33.77769900
19,ALACA,40.17366000,34.84423800
19,BAYAT,40.64600000,34.26100000
19,BOĞAZKALE,40.02775820,34.61675890
19,ÇORUM,40.55055560,34.95555560
19,DODURGA,40.85700160,34.80835200
19,İSKİLİP,40.74123000,34.47082900
19,KARGI,41.13440000,34.48720000
19,LAÇİN,40.76934310,34.89689600
19,MECİTÖZÜ,40.52000000,35.29527780
19,OĞUZLAR(KARAÖREN),40.55055560,34.95555560
19,ORTAKÖY,40.27333560,35.24903120
19,OSMANCIK,40.97406000,34.80215800
19,SUNGURLU,40.16100000,34.37700000
19,UĞURLUDAĞ,40.44750400,34.45472130
20,ACIPAYAM,37.43333330,29.35000000
20,AKKÖY,37.95580000,29.07860000
20,BABADAĞ,37.80877990,28.85676750
20,BAKLAN,37.97950050,29.60644790
20,BEKİLLİ,38.23194440,29.42166670
20,BEYAĞAÇ,37.22219310,28.90919140
20,BOZKURT,37.82442230,29.60644790
20,BULDAN,38.05287200,28.83149900
20,ÇAL,38.08443380,29.39616470
20,ÇAMELİ,37.07083070,29.34536110
20,ÇARDAK,37.82465530,29.67599080
20,ÇİVRİL,38.29988070,29.73970840
20,DENİZLİ,37.77652000,29.08639000
20,GÜNEY,38.15956900,29.06777000
20,HONAZ,37.75764270,29.26403870
20,KALE,37.43916670,28.84527780
20,SARAYKÖY,37.92645270,28.92666210
20,SERİNHİSAR,37.58066450,29.26984890
20,TAVAS,37.59108000,29.06315000
21,BAĞLAR,37.91441000,40.23062900
21,BİSMİL,37.84520000,40.67561000
21,ÇERMİK,38.13722220,39.45111110
21,ÇINAR,37.72416670,40.41500000
21,ÇÜNGÜŞ,38.21666670,39.28333330
21,DİCLE,38.37500000,40.07333330
21,EĞİL,38.25661230,40.08366620
21,ERGANİ,38.26666670,39.76666670
21,HANİ,38.41361110,40.39250000
21,HAZRO,38.25000000,40.78333330
21,KAYAPINAR,37.91441000,40.23062900
21,KOCAKÖY,38.28972220,40.50138890
21,KULP,38.50166670,41.01166670
21,LİCE,38.46049830,40.64685730
21,SİLVAN,38.14222220,41.00138890
21,SUR,38.05976060,40.38860400
21,YENİŞEHİR,37.91441000,40.23062900
22,EDİRNE,41.66666670,26.56666670
22,ENEZ,40.72932800,26.08890000
22,HAVSA,41.55000000,26.81666670
22,İPSALA,40.92273530,26.37954950
22,KEŞAN,40.85000000,26.63333330
22,LALAPAŞA,41.83333330,26.73333330
22,MERİÇ,41.18900000,26.41800000
